cve_municipios,cve_estados,nombre
1,1,Aguascalientes
1,2,Ensenada
1,3,Comondu
1,4,Calkini
1,5,Abasolo
1,6,Armeria
1,7,Acacoyagua
1,8,Ahumada
1,9,Azcapotzalco
1,10,Canatlan
1,11,Abasolo
1,12,Acapulco De Juarez
1,13,Acatlan
1,14,Acatic
1,15,Acambay
1,16,Acuitzio
1,17,Amacuzac
1,18,Acaponeta
1,19,Abasolo
1,20,Abejones
1,21,Acajete
1,22,Amealco De Bonfil
1,23,Cozumel
1,24,Ahualulco
1,25,Ahome
1,26,Aconchi
1,27,Balancan
1,28,Abasolo
1,29,Amaxac De Guerrero
1,30,Acajete
1,31,Abala
1,32,Apozol
2,1,Asientos
2,2,Mexicali
2,3,Mulege
2,4,Campeche
2,5,Acuña
2,6,Colima
2,7,Acala
2,8,Aldama
2,9,Coyoacan
2,10,Canelas
2,11,Acambaro
2,12,Ahuacuotzingo
2,13,Acaxochitlan
2,14,Acatlan De Juarez
2,15,Acolman
2,16,Aguililla
2,17,Atlatlahucan
2,18,Ahuacatlan
2,19,Agualeguas
2,20,Acatlan De Perez Figueroa
2,21,Acateno
2,22,Pinal De Amoles
2,23,Felipe Carrillo Puerto
2,24,Alaquines
2,25,Angostura
2,26,Agua Prieta
2,27,Cardenas
2,28,Aldama
2,29,Apetatitlan De Antonio Carvajal
2,30,Acatlan
2,31,Acanceh
2,32,Apulco
3,1,Calvillo
3,2,Tecate
3,3,La Paz
3,4,Carmen
3,5,Allende
3,6,Comala
3,7,Acapetahua
3,8,Allende
3,9,Cuajimalpa De Morelos
3,10,Coneto De Comonfort
3,11,Allende
3,12,Ajuchitlan Del Progreso
3,13,Actopan
3,14,Ahualulco De Mercado
3,15,Aculco
3,16,Alvaro Obregon
3,17,Axochiapan
3,18,Amatlan De Cañas
3,19,Los Aldamas
3,20,Asuncion Cacalotepec
3,21,Acatlan
3,22,Arroyo Seco
3,23,Isla Mujeres
3,24,Aquismon
3,25,Badiraguato
3,26,Alamos
3,27,Centla
3,28,Altamira
3,29,Atlangatepec
3,30,Acayucan
3,31,Akil
3,32,Atolinga
4,1,Cosio
4,2,Tijuana
4,3,Los Cabos
4,4,Champoton
4,5,Arteaga
4,6,Coquimatlan
4,7,Altamirano
4,8,Aquiles Serdan
4,9,Gustavo A. Madero
4,10,Cuencame
4,11,Apaseo El Alto
4,12,Alcozauca De Guerrero
4,13,Agua Blanca De Iturbide
4,14,Amacueca
4,15,Almoloya De Alquisiras
4,16,Angamacutiro
4,17,Ayala
4,18,Compostela
4,19,Allende
4,20,Asuncion Cuyotepeji
4,21,Acatzingo
4,22,Cadereyta De Montes
4,23,Othon P. Blanco
4,24,Armadillo De Los Infante
4,25,Concordia
4,26,Altar
4,27,Centro
4,28,Antiguo Morelos
4,29,Altzayanca
4,30,Actopan
4,31,Baca
4,32,Benito Juarez
5,1,Jesus Maria
5,2,Playas De Rosarito
5,3,Loreto
5,4,Hecelchakan
5,5,Candela
5,6,Cuauhtemoc
5,7,Amatan
5,8,Ascension
5,9,Iztacalco
5,10,Durango
5,11,Apaseo El Grande
5,12,Alpoyeca
5,13,Ajacuba
5,14,Amatitan
5,15,Almoloya De Juarez
5,16,Angangueo
5,17,Coatlan Del Rio
5,18,Huajicori
5,19,Anahuac
5,20,Asuncion Ixtaltepec
5,21,Acteopan
5,22,Colon
5,23,Benito Juarez
5,24,Cardenas
5,25,Cosala
5,26,Arivechi
5,27,Comalcalco
5,28,Burgos
5,29,Apizaco
5,30,Acula
5,31,Bokoba
5,32,Calera
6,1,Pabellon De Arteaga
6,4,Hopelchen
6,5,Castaños
6,6,Ixtlahuacan
6,7,Amatenango De La Frontera
6,8,Bachiniva
6,9,Iztapalapa
6,10,General Simon Bolivar
6,11,Atarjea
6,12,Apaxtla
6,13,Alfajayucan
6,14,Ameca
6,15,Almoloya Del Rio
6,16,Apatzingan
6,17,Cuautla
6,18,Ixtlan Del Rio
6,19,Apodaca
6,20,Asuncion Nochixtlan
6,21,Ahuacatlan
6,22,Corregidora
6,23,Jose Maria Morelos
6,24,Catorce
6,25,Culiacan
6,26,Arizpe
6,27,Cunduacan
6,28,Bustamante
6,29,Calpulalpan
6,30,Acultzingo
6,31,Buctzotz
6,32,Cañitas De Felipe Pescador
7,1,Rincon De Romos
7,4,Palizada
7,5,Cuatrocienegas
7,6,Manzanillo
7,7,Amatenango Del Valle
7,8,Balleza
7,9,La Magdalena Contreras
7,10,Gomez Palacio
7,11,Celaya
7,12,Arcelia
7,13,Almoloya
7,14,San Juanito De Escobedo
7,15,Amanalco
7,16,Aporo
7,17,Cuernavaca
7,18,Jala
7,19,Aramberri
7,20,Asuncion Ocotlan
7,21,Ahuatlan
7,22,Ezequiel Montes
7,23,Lazaro Cardenas
7,24,Cedral
7,25,Choix
7,26,Atil
7,27,Emiliano Zapata
7,28,Camargo
7,29,El Carmen Tequexquitla
7,30,Camaron De Tejeda
7,31,Cacalchen
7,32,Concepcion Del Oro
8,1,San Jose De Gracia
8,4,Tenabo
8,5,Escobedo
8,6,Minatitlan
8,7,Angel Albino Corzo
8,8,Batopilas
8,9,Milpa Alta
8,10,Guadalupe Victoria
8,11,Manuel Doblado
8,12,Atenango Del Rio
8,13,Apan
8,14,Arandas
8,15,Amatepec
8,16,Aquila
8,17,Emiliano Zapata
8,18,Xalisco
8,19,Bustamante
8,20,Asuncion Tlacolulita
8,21,Ahuazotepec
8,22,Huimilpan
8,23,Solidaridad
8,24,Cerritos
8,25,Elota
8,26,Bacadehuachi
8,27,Huimanguillo
8,28,Casas
8,29,Cuapiaxtla
8,30,Alpatlahuac
8,31,Calotmul
8,32,Cuauhtemoc
9,1,Tepezala
9,4,Escarcega
9,5,Francisco I. Madero
9,6,Tecoman
9,7,Arriaga
9,8,Bocoyna
9,9,Alvaro Obregon
9,10,Guanacevi
9,11,Comonfort
9,12,Atlamajalcingo Del Monte
9,13,El Arenal
9,14,El Arenal
9,15,Amecameca
9,16,Ario
9,17,Huitzilac
9,18,Del Nayar
9,19,Cadereyta Jimenez
9,20,Ayotzintepec
9,21,Ahuehuetitla
9,22,Jalpan De Serra
9,23,Chetumal
9,24,Cerro De San Pedro
9,25,Escuinapa
9,26,Bacanora
9,27,Jalapa
9,28,Ciudad Madero
9,29,Cuaxomulco
9,30,Alto Lucero De Gutierrez Barri
9,31,Cansahcab
9,32,Chalchihuites
10,1,El Llano
10,4,Calakmul
10,5,Frontera
10,6,Villa De Alvarez
10,7,Bejucal De Ocampo
10,8,Buenaventura
10,9,Tlahuac
10,10,Hidalgo
10,11,Coroneo
10,12,Atlixtac
10,13,Atitalaquia
10,14,Atemajac De Brizuela
10,15,Apaxco
10,16,Arteaga
10,17,Jantetelco
10,18,Rosamorada
10,19,Carmen
10,20,El Barrio De La Soledad
10,21,Ajalpan
10,22,Landa De Matamoros
10,23,Playa del Carmen
10,24,Ciudad Del Maiz
10,25,El Fuerte
10,26,Bacerac
10,27,Jalpa De Mendez
10,28,Cruillas
10,29,Chiautempan
10,30,Altotonga
10,31,Cantamayec
10,32,Fresnillo
11,1,San Francisco De Los Romo
11,4,Candelaria
11,5,General Cepeda
11,7,Bella Vista
11,8,Camargo
11,9,Tlalpan
11,10,Inde
11,11,Cortazar
11,12,Atoyac De Alvarez
11,13,Atlapexco
11,14,Atengo
11,15,Atenco
11,16,Briseñas
11,17,Jiutepec
11,18,Ruiz
11,19,Cerralvo
11,20,Calihuala
11,21,Albino Zertuche
11,22,El Marques
11,24,Ciudad Fernandez
11,25,Guasave
11,26,Bacoachi
11,27,Jonuta
11,28,Gomez Farias
11,29,Muñoz De Domingo Arenas
11,30,Alvarado
11,31,Celestun
11,32,Trinidad Garcia De La Cadena
12,5,Guerrero
12,7,Berriozabal
12,8,Carichi
12,9,Xochimilco
12,10,Lerdo
12,11,Cueramaro
12,12,Ayutla De Los Libres
12,13,Atotonilco El Grande
12,14,Atenguillo
12,15,Atizapan
12,16,Buenavista
12,17,Jojutla
12,18,San Blas
12,19,Cienega De Flores
12,20,Candelaria Loxicha
12,21,Aljojuca
12,22,Pedro Escobedo
12,24,Tancanhuitz
12,25,Mazatlan
12,26,Bacum
12,27,Macuspana
12,28,Gonzalez
12,29,Españita
12,30,Amatitlan
12,31,Cenotillo
12,32,Genaro Codina
13,5,Hidalgo
13,7,Bochil
13,8,Casas Grandes
13,9,Benito Juarez
13,10,Mapimi
13,11,Doctor Mora
13,12,Azoyu
13,13,Atotonilco De Tula
13,14,Atotonilco El Alto
13,15,Atizapan De Zaragoza
13,16,Caracuaro
13,17,Jonacatepec
13,18,San Pedro Lagunillas
13,19,China
13,20,Cienega De Zimatlan
13,21,Altepexi
13,22,Peñamiller
13,24,Ciudad Valles
13,25,Mocorito
13,26,Banamichi
13,27,Nacajuca
13,28,Güemez
13,29,Huamantla
13,30,Naranjos Amatlan
13,31,Conkal
13,32,General Enrique Estrada
14,5,Jimenez
14,7,El Bosque
14,8,Coronado
14,9,Cuauhtemoc
14,10,Mezquital
14,11,Dolores Hidalgo
14,12,Benito Juarez
14,13,Calnali
14,14,Atoyac
14,15,Atlacomulco
14,16,Coahuayana
14,17,Mazatepec
14,18,Santa Maria Del Oro
14,19,Doctor Arroyo
14,20,Ciudad Ixtepec
14,21,Amixtlan
14,22,Queretaro
14,24,Coxcatlan
14,25,Rosario
14,26,Baviacora
14,27,Paraiso
14,28,Guerrero
14,29,Hueyotlipan
14,30,Amatlan De Los Reyes
14,31,Cuncunul
14,32,General Francisco R. Murguia
15,5,Juarez
15,7,Cacahoatan
15,8,Coyame Del Sotol
15,9,Miguel Hidalgo
15,10,Nazas
15,11,Guanajuato
15,12,Buenavista De Cuellar
15,13,Cardonal
15,14,Autlan De Navarro
15,15,Atlautla
15,16,Coalcoman De Vazquez Pallares
15,17,Miacatlan
15,18,Santiago Ixcuintla
15,19,Doctor Coss
15,20,Coatecas Altas
15,21,Amozoc
15,22,San Joaquin
15,24,Charcas
15,25,Salvador Alvarado
15,26,Bavispe
15,27,Tacotalpa
15,28,Gustavo Diaz Ordaz
15,29,Ixtacuixtla De Mariano Matamoros
15,30,Angel R. Cabada
15,31,Cuzama
15,32,El Plateado De Joaquin Amaro
16,5,Lamadrid
16,7,Catazaja
16,8,La Cruz
16,9,Venustiano Carranza
16,10,Nombre De Dios
16,11,Huanimaro
16,12,Coahuayutla De Jose Maria Izazaga
16,13,Cuautepec De Hinojosa
16,14,Ayotlan
16,15,Axapusco
16,16,Coeneo
16,17,Ocuituco
16,18,Tecuala
16,19,Doctor Gonzalez
16,20,Coicoyan De Las Flores
16,21,Aquixtla
16,22,San Juan Del Rio
16,24,Ebano
16,25,San Ignacio
16,26,Benjamin Hill
16,27,Teapa
16,28,Hidalgo
16,29,Ixtenco
16,30,La Antigua
16,31,Chacsinkin
16,32,General Panfilo Natera
17,5,Matamoros
17,7,Cintalapa
17,8,Cuauhtemoc
17,10,Ocampo
17,11,Irapuato
17,12,Cocula
17,13,Chapantongo
17,14,Ayutla
17,15,Ayapango
17,16,Contepec
17,17,Puente De Ixtla
17,18,Tepic
17,19,Galeana
17,20,La Compañia
17,21,Atempan
17,22,Tequisquiapan
17,24,Guadalcazar
17,25,Sinaloa
17,26,Caborca
17,27,Tenosique
17,28,Jaumave
17,29,Mazatecochco De Jose Maria Morelos
17,30,Apazapan
17,31,Chankom
17,32,Guadalupe
18,5,Monclova
18,7,Coapilla
18,8,Cusihuiriachi
18,10,El Oro
18,11,Jaral Del Progreso
18,12,Copala
18,13,Chapulhuacan
18,14,La Barca
18,15,Calimaya
18,16,Copandaro
18,17,Temixco
18,18,Tuxpan
18,19,Garcia
18,20,Concepcion Buenavista
18,21,Atexcal
18,22,Toliman
18,24,Huehuetlan
18,25,Navolato
18,26,Cajeme
18,28,Jimenez
18,29,Contla De Juan Cuamatzi
18,30,Aquila
18,31,Chapab
18,32,Huanusco
19,5,Morelos
19,7,Comitan De Dominguez
19,8,Chihuahua
19,10,Otaez
19,11,Jerecuaro
19,12,Copalillo
19,13,Chilcuautla
19,14,Bolaños
19,15,Capulhuac
19,16,Cotija
19,17,Tepalcingo
19,18,La Yesca
19,19,San Pedro Garza Garcia
19,20,Concepcion Papalo
19,21,Atlixco
19,22,Santa Rosa Jauregui
19,24,Lagunillas
19,25,Los Mochis
19,26,Cananea
19,28,Llera
19,29,Tepetitla De Lardizabal
19,30,Astacinga
19,31,Chemax
19,32,Jalpa
20,5,Muzquiz
20,7,La Concordia
20,8,Chinipas
20,10,Panuco De Coronado
20,11,Leon
20,12,Copanatoyac
20,13,Eloxochitlan
20,14,Cabo Corrientes
20,15,Coacalco De Berriozabal
20,16,Cuitzeo
20,17,Tepoztlan
20,18,Bahia De Banderas
20,19,General Bravo
20,20,Constancia Del Rosario
20,21,Atoyatempan
20,24,Matehuala
20,26,Carbo
20,28,Mainero
20,29,Sanctorum De Lazaro Cardenas
20,30,Atlahuilco
20,31,Chicxulub Pueblo
20,32,Jerez
21,5,Nadadores
21,7,Copainala
21,8,Delicias
21,10,Peñon Blanco
21,11,Moroleon
21,12,Coyuca De Benitez
21,13,Emiliano Zapata
21,14,Casimiro Castillo
21,15,Coatepec Harinas
21,16,Charapan
21,17,Tetecala
21,19,General Escobedo
21,20,Cosolapa
21,21,Atzala
21,24,Mexquitic De Carmona
21,26,La Colorada
21,28,El Mante
21,29,Nanacamilpa De Mariano Arista
21,30,Atoyac
21,31,Chichimila
21,32,Jimenez Del Teul
22,5,Nava
22,7,Chalchihuitan
22,8,Dr. Belisario Dominguez
22,10,Poanas
22,11,Ocampo
22,12,Coyuca De Catalan
22,13,Epazoyucan
22,14,Cihuatlan
22,15,Cocotitlan
22,16,Charo
22,17,Tetela Del Volcan
22,19,General Teran
22,20,Cosoltepec
22,21,Atzitzihuacan
22,24,Moctezuma
22,26,Cucurpe
22,28,Matamoros
22,29,Acuamanala De Miguel Hidalgo
22,30,Atzacan
22,31,Chikindzonot
22,32,Juan Aldama
23,5,Ocampo
23,7,Chamula
23,8,Galeana
23,10,Pueblo Nuevo
23,11,Penjamo
23,12,Cuajinicuilapa
23,13,Francisco I. Madero
23,14,Zapotlan El Grande
23,15,Coyotepec
23,16,Chavinda
23,17,Tlalnepantla
23,19,General Treviño
23,20,Cuilapam De Guerrero
23,21,Atzitzintla
23,24,Rayon
23,26,Cumpas
23,28,Mendez
23,29,Nativitas
23,30,Atzalan
23,31,Chochola
23,32,Juchipila
24,5,Parras
24,7,Chanal
24,8,Santa Isabel
24,10,Rodeo
24,11,Pueblo Nuevo
24,12,Cualac
24,13,Huasca De Ocampo
24,14,Cocula
24,15,Cuautitlan
24,16,Cheran
24,17,Tlaltizapan
24,19,General Zaragoza
24,20,Cuyamecalco Villa De Zaragoza
24,21,Axutla
24,24,Rioverde
24,26,Divisaderos
24,28,Mier
24,29,Panotla
24,30,Tlaltetela
24,31,Chumayel
24,32,Loreto
25,5,Piedras Negras
25,7,Chapultenango
25,8,Gomez Farias
25,10,San Bernardo
25,11,Purisima Del Rincon
25,12,Cuautepec
25,13,Huautla
25,14,Colotlan
25,15,Chalco
25,16,Chilchota
25,17,Tlaquiltenango
25,19,General Zuazua
25,20,Chahuites
25,21,Ayotoxco De Guerrero
25,24,Salinas
25,26,Empalme
25,28,Miguel Aleman
25,29,San Pablo Del Monte
25,30,Ayahualulco
25,31,Dzan
25,32,Luis Moya
26,5,Progreso
26,7,Chenalho
26,8,Gran Morelos
26,10,San Dimas
26,11,Romita
26,12,Cuetzala Del Progreso
26,13,Huazalingo
26,14,Concepcion De Buenos Aires
26,15,Chapa De Mota
26,16,Chinicuila
26,17,Tlayacapan
26,19,Guadalupe
26,20,Chalcatongo De Hidalgo
26,21,Calpan
26,24,San Antonio
26,26,Etchojoa
26,28,Miquihuana
26,29,Santa Cruz Tlaxcala
26,30,Banderilla
26,31,Dzemul
26,32,Mazapil
27,5,Ramos Arizpe
27,7,Chiapa De Corzo
27,8,Guachochi
27,10,San Juan De Guadalupe
27,11,Salamanca
27,12,Cutzamala De Pinzon
27,13,Huehuetla
27,14,Cuautitlan De Garcia Barragan
27,15,Chapultepec
27,16,Chucandiro
27,17,Totolapan
27,19,Los Herreras
27,20,Chiquihuitlan De Benito Juarez
27,21,Caltepec
27,24,San Ciro De Acosta
27,26,Fronteras
27,28,Nuevo Laredo
27,29,Tenancingo
27,30,Benito Juarez
27,31,Dzidzantun
27,32,Melchor Ocampo
28,5,Sabinas
28,7,Chiapilla
28,8,Guadalupe
28,10,San Juan Del Rio
28,11,Salvatierra
28,12,Chilapa De Alvarez
28,13,Huejutla De Reyes
28,14,Cuautla
28,15,Chiautla
28,16,Churintzio
28,17,Xochitepec
28,19,Higueras
28,20,Heroica Ciudad De Ejutla De Crespo
28,21,Camocuautla
28,24,San Luis Potosi
28,26,Granados
28,28,Nuevo Morelos
28,29,Teolocholco
28,30,Boca Del Rio
28,31,Dzilam De Bravo
28,32,Mezquital Del Oro
29,5,Sacramento
29,7,Chicoasen
29,8,Guadalupe Y Calvo
29,10,San Luis Del Cordero
29,11,San Diego De La Union
29,12,Chilpancingo De Los Bravo
29,13,Huichapan
29,14,Cuquio
29,15,Chicoloapan
29,16,Churumuco
29,17,Yautepec
29,19,Hualahuises
29,20,Eloxochitlan De Flores Magon
29,21,Caxhuacan
29,24,San Martin Chalchicuautla
29,26,Guaymas
29,28,Ocampo
29,29,Tepeyanco
29,30,Calcahualco
29,31,Dzilam Gonzalez
29,32,Miguel Auza
30,5,Saltillo
30,7,Chicomuselo
30,8,Guazapares
30,10,San Pedro Del Gallo
30,11,San Felipe
30,12,Florencio Villarreal
30,13,Ixmiquilpan
30,14,Chapala
30,15,Chiconcuac
30,16,Ecuandureo
30,17,Yecapixtla
30,19,Iturbide
30,20,El Espinal
30,21,Coatepec
30,24,San Nicolas Tolentino
30,26,Hermosillo
30,28,Padilla
30,29,Terrenate
30,30,Camerino Z. Mendoza
30,31,Dzitas
30,32,Momax
31,5,San Buenaventura
31,7,Chilon
31,8,Guerrero
31,10,Santa Clara
31,11,San Francisco Del Rincon
31,12,General Canuto A. Neri
31,13,Jacala De Ledezma
31,14,Chimaltitan
31,15,Chimalhuacan
31,16,Epitacio Huerta
31,17,Zacatepec De Hidalgo
31,19,Juarez
31,20,Tamazulapam Del Espiritu Santo
31,21,Coatzingo
31,24,Santa Catarina
31,26,Huachinera
31,28,Palmillas
31,29,Tetla De La Solidaridad
31,30,Carrillo Puerto
31,31,Dzoncauich
31,32,Monte Escobedo
32,5,San Juan De Sabinas
32,7,Escuintla
32,8,Hidalgo Del Parral
32,10,Santiago Papasquiaro
32,11,San Jose Iturbide
32,12,General Heliodoro Castillo
32,13,Jaltocan
32,14,Chiquilistlan
32,15,Donato Guerra
32,16,Erongaricuaro
32,17,Zacualpan De Amilpas
32,19,Lampazos De Naranjo
32,20,Fresnillo De Trujano
32,21,Cohetzala
32,24,Santa Maria Del Rio
32,26,Huasabas
32,28,Reynosa
32,29,Tetlatlahuca
32,30,Catemaco
32,31,Espita
32,32,Morelos
33,5,San Pedro
33,7,Francisco Leon
33,8,Huejotitan
33,10,Suchil
33,11,San Luis De La Paz
33,12,Huamuxtitlan
33,13,Juarez Hidalgo
33,14,Degollado
33,15,Ecatepec De Morelos
33,16,Gabriel Zamora
33,17,Temoac
33,19,Linares
33,20,Guadalupe Etla
33,21,Cohuecan
33,24,Santo Domingo
33,26,Huatabampo
33,28,Rio Bravo
33,29,Tlaxcala
33,30,Cazones
33,31,Halacho
33,32,Moyahua De Estrada
34,5,Sierra Mojada
34,7,Frontera Comalapa
34,8,Ignacio Zaragoza
34,10,Tamazula
34,11,Santa Catarina
34,12,Huitzuco De Los Figueroa
34,13,Lolotla
34,14,Ejutla
34,15,Ecatzingo
34,16,Hidalgo
34,19,Marin
34,20,Guadalupe De Ramirez
34,21,Coronango
34,24,San Vicente Tancuayalab
34,26,Huepac
34,28,San Carlos
34,29,Tlaxco
34,30,Cerro Azul
34,31,Hocaba
34,32,Nochistlan De Mejia
35,5,Torreon
35,7,Frontera Hidalgo
35,8,Janos
35,10,Tepehuanes
35,11,Santa Cruz De Juventino Rosas
35,12,Iguala De La Independencia
35,13,Metepec
35,14,Encarnacion De Diaz
35,15,Huehuetoca
35,16,La Huacana
35,19,Melchor Ocampo
35,20,Guelatao De Juarez
35,21,Coxcatlan
35,24,Soledad De Graciano Sanchez
35,26,Imuris
35,28,San Fernando
35,29,Tocatlan
35,30,Citlaltepetl
35,31,Hoctun
35,32,Noria De Angeles
36,5,Viesca
36,7,La Grandeza
36,8,Jimenez
36,10,Tlahualilo
36,11,Santiago Maravatio
36,12,Igualapa
36,13,San Agustin Metzquititlan
36,14,Etzatlan
36,15,Hueypoxtla
36,16,Huandacareo
36,19,Mier Y Noriega
36,20,Guevea De Humboldt
36,21,Coyomeapan
36,24,Tamasopo
36,26,Magdalena
36,28,San Nicolas
36,29,Totolac
36,30,Coacoatzintla
36,31,Homun
36,32,Ojocaliente
37,5,Villa Union
37,7,Huehuetan
37,8,Juarez
37,10,Topia
37,11,Silao
37,12,Ixcateopan De Cuauhtemoc
37,13,Metztitlan
37,14,El Grullo
37,15,Huixquilucan
37,16,Huaniqueo
37,19,Mina
37,20,Mesones Hidalgo
37,21,Coyotepec
37,24,Tamazunchale
37,26,Mazatan
37,28,Soto La Marina
37,29,Zitlaltepec De Trinidad Sanchez Santos
37,30,Coahuitlan
37,31,Huhi
37,32,Panuco
38,5,Zaragoza
38,7,Huixtan
38,8,Julimes
38,10,Vicente Guerrero
38,11,Tarandacuao
38,12,Jose Azueta
38,13,Mineral Del Chico
38,14,Guachinango
38,15,Isidro Fabela
38,16,Huetamo
38,19,Montemorelos
38,20,Villa Hidalgo
38,21,Cuapiaxtla De Madero
38,24,Tampacan
38,26,Moctezuma
38,28,Tampico
38,29,Tzompantepec
38,30,Coatepec
38,31,Hunucma
38,32,Pinos
39,7,Huitiupan
39,8,Lopez
39,10,Nuevo Ideal
39,11,Tarimoro
39,12,Juan R. Escudero
39,13,Mineral Del Monte
39,14,Guadalajara
